_id,id,title,type,year,province,district,commune,project_budget_KHR,project_completion_cost_KHR,awarded_tenderer,environmental_impact,contract_id,view_detail,reference,last_update
1,1,Canal rehabilitation,Canal,2019,Banteay Meanchey,Ou Chrov,Changha,"89,734,390","104,650,000",Sim Vathana,Not required,010501-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=9c5214f8-0b9a-49a5-ac27-ab8800f2d6f4,PID__02.12.2020.pdf,
2,2,Laterite road,Road,2019,Banteay Meanchey,Ou Chrov,Koub,"116,576,007","119,678,750",Chhour Kongveng,Not required,010502-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=0ea447f1-b591-4935-85f8-ab8800fcd9c8,PID__02.12.2020.pdf,
3,3,Laterite road,Road,2019,Banteay Meanchey,Ou Chrov,Kuttasat,"99,035,221","73,667,800","Win construction, Ny Chheav Vorng",Not required,010503-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=03057514-463c-44df-aadd-ab880106da71,PID__02.12.2020.pdf,
4,4,Laterite road,Road,2019,Banteay Meanchey,Ou Chrov,Samraong,"99,236,771","122,544,000",Chhour Kongveng,Not required,010505-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=8291b106-fc01-46a5-886a-ab88010ef37a,PID__02.12.2020.pdf,
5,5,Laterite road,Road,2019,Banteay Meanchey,Ou Chrov,Souphi,"91,336,059","96,040,000",Chhour Kongveng,Required and completed,010506-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=2818e7bc-33a5-4ed6-a097-ab880114afd8,PID__02.12.2020.pdf,
6,6,Laterite road,Road,2019,Banteay Meanchey,Ou Chrov,Soengh,"84,963,880","108,654,000",Sim Vathana,Required and completed,010507-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=9a1e4378-1cca-4936-85c9-ab89009a7081,PID__02.12.2020.pdf,
7,7,Laterite road,Road,2019,Banteay Meanchey,Ou Chrov,Ou Beichoan,"97,447,345","135,310,000",Phaan Tara Construction,Required and completed,010509-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=b74f1355-21cd-46a0-9150-ab8800f77d06,PID__02.12.2020.pdf,
8,8,Laterite road,Road,2019,Banteay Meanchey,Malai,Boeng Beng,"118,272,358","118,275,000",Chhour Kongveng,Required and completed,010901-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=8bccec27-a923-4869-bfd7-ab830101b138,PID__02.12.2020.pdf,
9,9,Laterite road,Road,2019,Banteay Meanchey,Malai,Malai,"74,435,199","74,880,000","Ideal construction co., ltd., Mr. Chheuy Lornvannara",Required and completed,010902-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=bcc04adc-b9fe-4759-ba1f-ab8800a480ec,PID__02.12.2020.pdf,
10,10,Concrete road,Road,2019,Banteay Meanchey,Malai,Malai,"44,103,178","44,748,000","Idea construction co.ltd., Mr. Chheuy Lornvannara",Required and completed,010902-19-02-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=c9a10c22-b138-4124-a8aa-ab8800ae496c,PID__02.12.2020.pdf,
11,11,Earth road,Road,2019,Banteay Meanchey,Malai,Ou Sampoar,"96,825,216","98,700,000",Veung SoMeng,Required and completed,010903-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=81bf7ce7-deea-4303-a12b-ab8700feae0a,PID__02.12.2020.pdf,
12,12,Concrete road,Road,2019,Banteay Meanchey,Malai,Ou Sralau,"98,002,429","99,000,000",Sar Song,Required and completed,010904-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=849c1852-fe32-4b29-b8c9-ab7400fb0201,PID__02.12.2020.pdf,
13,13,Laterite road,Road,2019,Banteay Meanchey,Malai,Tuol Pongro,"156,268,159","156,550,000",Sar Song,Required and completed,010905-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=c3597ad5-e478-4889-ab3f-ab84010796ba,PID__02.12.2020.pdf,
14,14,Laterite road,Road,2019,Banteay Meanchey,Malai,Ta Kong,"67,497,402","120,480,000",Win construction,Not required,010906-19-01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=76618618-a06e-4bd5-ab5c-ab880095eb24,PID__02.12.2020.pdf,
15,15,The natural gravel roads,Road,2018,Banteay Meanchey,Malai,Boeng Beng,"81,889,356","78,890,000",Veung SoMeng,Required and completed,010901/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=63d6dbe5-07b4-4438-843d-aa5a0101256d,PID__02.12.2020.pdf,
16,16,Concrete road,Road,2018,Banteay Meanchey,Malai,Malai,"290,020,025","104,829,000",Sem Moun,Required and completed,010902/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=b3a89255-3f6d-4232-b5fc-aa610093e8d6,PID__02.12.2020.pdf,
17,17,Dirt road,Road,2018,Banteay Meanchey,Malai,Ou Sampoar,"144,266,322","82,236,150",Chao Chiva,Required and completed,010903/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=57d5e12a-e1a4-48aa-b6bf-aa6200ac8fbc,PID__02.12.2020.pdf,
18,18,Concrete road,Road,2018,Banteay Meanchey,Malai,Ou Sralau,"247,344,748","91,980,000",Khim Taily,Required and completed,010904/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=2ae431bf-14e6-4fe0-b3e5-aa6100f9b75b,PID__02.12.2020.pdf,
19,19,The natural gravel roads,Road,2018,Banteay Meanchey,Malai,Tuol Pongro,"169,772,491","136,163,700",Phaan Tara Construction,Required and completed,010905/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=499879c3-8bd3-42f8-8ce9-aa6200fd7d94,PID__02.12.2020.pdf,
20,20,The natural gravel roads,Road,2018,Banteay Meanchey,Malai,Ta Kong,"139,775,364","106,020,000",Veung SoMeng,Not required,010906/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=e7939f60-97cd-4b99-bf40-aa8d00a087ec,PID__02.12.2020.pdf,
21,21,Earth Canal,Canal,2018,Banteay Meanchey,Ou Chrov,Changha,"90,690,257","90,650,000",Sim Vathana,Not required,010501/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=2bf3e9b7-925d-4b9a-95fc-aa5c00f67354,PID__02.12.2020.pdf,
22,22,Laterite road,Road,2018,Banteay Meanchey,Ou Chrov,Koub,"98,518,748","100,125,000",Sim Vathana,Not required,010502/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=07a09a2c-2cd6-4177-a302-aa5c0106848a,PID__02.12.2020.pdf,
23,23,Laterite road,Road,2018,Banteay Meanchey,Ou Chrov,Kuttasat,"81,600,547","82,738,000",R.M.T,Not required,010503/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=b236892e-d1d1-4bb1-b7e4-aa5d00829863,PID__02.12.2020.pdf,
24,24,Laterite road,Road,2018,Banteay Meanchey,Ou Chrov,Samraong,"95,170,899","95,304,000",R.M.T,Not required,010505/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=1e5e426b-f4fe-4c1d-aa7f-aa5d00ca506a,PID__02.12.2020.pdf,
25,25,Earth road,Road,2018,Banteay Meanchey,Ou Chrov,Souphi,"88,734,276","109,305,000",Tes Narin,Required and completed,010506/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=8dee2d65-87eb-4302-b628-aa5d00babc91,PID__02.12.2020.pdf,
26,26,Laterite road,Road,2018,Banteay Meanchey,Ou Chrov,Soengh,"112,521,443","120,615,000",Sim Vathana,Not required,010507/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=3b7f0482-e9d4-4dbb-810e-aa5d008f9916,PID__02.12.2020.pdf,
27,27,Laterite road,Road,2018,Banteay Meanchey,Ou Chrov,Ou Beichoan,"89,790,813","110,682,000",Hul Senghab,Required and completed,010509/18/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=74957f04-8ed8-493b-a7bc-aa5d00a910d2,PID__02.12.2020.pdf,
28,28,Canal rehabilitation,Canal,2017,Banteay Meanchey,Ou Chrov,Changha,"64,746,508","78,584,000",Sim Vathana,Not required,010501/17/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=227d6608-b321-4c91-982a-a9c700f320f4,PID__02.12.2020.pdf,
29,29,Laterite road,Road,2017,Banteay Meanchey,Ou Chrov,Koub,"39,282,841","47,874,200",Chao Lign Chhign,Not required,010502/17/02-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=5e5f733b-ff43-4c16-869d-a9c900dc2c16,PID__02.12.2020.pdf,
30,30,Earth road,Road,2017,Banteay Meanchey,Ou Chrov,Koub,"99,615,516","66,990,000",Veung SoMeng,Not required,010502/17/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=7e00aa30-8b61-4a67-a3f0-a9c70098b393,PID__02.12.2020.pdf,
31,31,Construction of corner drains across roads,Road; Drainage,2017,Banteay Meanchey,Ou Chrov,Kuttasat,"64,125,800","70,400,000",Sar Song,Required and completed,010503/17/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=d68f064b-f663-4e8b-9966-a9c300a772a5,PID__02.12.2020.pdf,
32,32,Laterite road,Road,2017,Banteay Meanchey,Ou Chrov,Samraong,"75,409,488","90,073,940",Chao Lign Chhign,Not required,010505/17/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=8b1a76e7-0eb2-4380-b241-a9c701030a4f,PID__02.12.2020.pdf,
33,33,Earth road,Road,2017,Banteay Meanchey,Ou Chrov,Souphi,"57,455,750","37,125,000",Tes Narin,Required and completed,010506/17/01-01,http://db.ncdd.gov.kh/pid/project/home/view.castle?pid=294a241e-6893-4a26-8900-a9c90099119f,PID__02.12.2020.pdf,
